title,type,Episodes,Status,Aired,Premiered,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Score,Rank,Popularity,Members
Taishou Mebiusline: Chicchai-san,TV,12,Finished Airing,"Oct 6, 2017 to Dec 22, 2017",Fall 2017,-,-,Studio A-CAT,Visual novel,"Historical,Supernatural",3 min. per ep.,PG-13 - Teens 13 or older,4.72,10492,4699,"10,166"
Conception,TV,12,Finished Airing,"Oct 10, 2018 to Dec 26, 2018",Fall 2018,Sotsu,Funimation,Gonzo,Game,"Action,Adventure,Harem,Magic,Romance,Fantasy",23 min. per ep.,PG-13 - Teens 13 or older,4.71,10497,1628,"75,895"
Dynamic Chord,TV,12,Finished Airing,"Oct 6, 2017 to Dec 22, 2017",Fall 2017,"TBS,Nippon Columbia,Zack Promotion,Overlap,Nichion,Asgard",Sentai Filmworks,"Studio Pierrot,Pierrot Plus",Visual novel,Music,24 min. per ep.,PG-13 - Teens 13 or older,4.71,10499,5249,"7,688"
Jigoku Youchien,ONA,12,Finished Airing,"Jan 9, 2013 to Mar 26, 2013",,-,-,-,Unknown,"Demons,Kids,School",2 min. per ep.,G - All Ages,4.68,10514,9373,"1,447"
Try Knights,TV,12,Finished Airing,"Jul 31, 2019 to Oct 16, 2019",Summer 2019,Nippon Television Network,Sentai Filmworks,"Gonzo,Seven",Manga,"Sports,School,Josei",22 min. per ep.,PG-13 - Teens 13 or older,4.68,10519,4106,"13,955"
Love Kome: We Love Rice,TV,12,Finished Airing,"Apr 5, 2017 to Jun 21, 2017",Spring 2017,"Just Production,Kanetsu Investment",-,Encourage Films,Original,Slice of Life,4 min. per ep.,PG-13 - Teens 13 or older,4.63,10554,4902,"9,179"
Souryo to Majiwaru Shikiyoku no Yoru ni...,TV,12,Finished Airing,"Apr 3, 2017 to Jun 19, 2017",Spring 2017,"Kujou-kun no Bonnou wo Mimamoru-kai,Cloud22",-,Seven,Manga,"Drama,Ecchi,Romance",3 min. per ep.,R+ - Mild Nudity,4.61,10560,2637,"34,630"
Makura no Danshi,TV,12,Finished Airing,"Jul 14, 2015 to Sep 29, 2015",Summer 2015,"Earth Star Entertainment,Assez Finaud Fabric",-,feel.,Original,Slice of Life,4 min. per ep.,PG-13 - Teens 13 or older,4.54,10584,2788,"31,485"
Onyankopon,ONA,12,Finished Airing,"Oct 6, 2017 to Dec 22, 2017",,Asmik Ace,-,Kyotoma,Other,"Music,Comedy,School",3 min. per ep.,G - All Ages,4.5,10594,9731,"1,227"
Ragnastrike Angels,TV,12,Finished Airing,"Apr 3, 2016 to Jun 19, 2016",Spring 2016,Aniplex,-,Satelight,Game,Action,30 sec. per ep.,PG-13 - Teens 13 or older,4.36,10627,4602,"10,717"
KochinPa!,TV,12,Finished Airing,"Dec 22, 2015 to May 25, 2016",Winter 2016,-,-,-,Other,Comedy,15 sec. per ep.,G - All Ages,4.29,10636,8989,"1,691"
Ladyspo,TV,12,Finished Airing,"Apr 10, 2018 to Jun 26, 2018",Spring 2018,"DAX Production,Quatre Stella,RME",-,Brio Animation,Original,"Action,Comedy,Sci-Fi",4 min. per ep.,PG-13 - Teens 13 or older,4.24,10641,7596,"2,947"
Musekinin Galaxy☆Tylor,TV,12,Finished Airing,"Jul 11, 2017 to Sep 26, 2017",Summer 2017,"DAX Production,Dream Creation",-,Seven,Light novel,"Military,Sci-Fi,Space,Comedy,Parody",3 min. per ep.,PG-13 - Teens 13 or older,4.04,10667,6295,"4,900"
Gibiate,TV,12,Finished Airing,"Jul 15, 2020 to Sep 30, 2020",Summer 2020,-,-,"Studio elle,l-a-unch・BOX",Original,"Action,Horror,Martial Arts,Samurai,Fantasy",24 min. per ep.,None,4,10670,2225,"46,984"
Mahou Shoujo? Naria☆Girls,TV,12,Finished Airing,"Jul 7, 2016 to Sep 22, 2016",Summer 2016,"Pony Canyon,Pony Canyon Enterprise,Smiral Animation",-,Bouncy,Original,Magic,8 min. per ep.,PG-13 - Teens 13 or older,3.85,10676,5750,"6,192"
Hanoka,TV,12,Finished Airing,"Aug 8, 2006 to Oct 31, 2006",Summer 2006,"RAMS,Fanworks",-,-,Original,Sci-Fi,5 min. per ep.,PG-13 - Teens 13 or older,3.82,10680,7548,"3,013"
Pupa,TV,12,Finished Airing,"Jan 10, 2014 to Mar 28, 2014",Winter 2014,Earth Star Entertainment,-,Studio Deen,Manga,"Fantasy,Horror,Psychological",4 min. per ep.,R - 17+ (violence & profanity),3.47,10693,975,"140,729"
